date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019/5/7,sh.600000,10.8717405,10.9821135,10.66939,10.853345,10.853345,85489922,1010271124,2,0.304194,1,0,5.964637,0.755115,1.90101,-13.695858,0
2019/5/8,sh.600000,10.706181,10.8349495,10.56821475,10.58661025,10.853345,58500103,677487368,2,0.208158,1,-2.457627,5.818049,0.736557,1.85429,-13.359265,0
2019/5/9,sh.600000,10.559017,10.632599,10.2095025,10.227898,10.58661025,64128049,722119098,2,0.228183,1,-3.388361,5.620912,0.7116,1.79146,-12.906605,0
2019/5/10,sh.600000,10.32907325,10.5038305,10.1727115,10.411853,10.227898,48550722,548884302,2,0.172755,1,1.79856,5.722008,0.724398,1.823681,-13.138738,0
2019/5/13,sh.600000,10.30148,10.485435,10.25549125,10.40265525,10.411853,40284963,455643057,2,0.143344,1,-0.088333,5.716953,0.723758,1.82207,-13.127132,0
2019/5/14,sh.600000,10.2830845,10.522226,10.27388675,10.31067775,10.40265525,41888998,473151522,2,0.149051,1,-0.884177,5.666405,0.717359,1.80596,-13.011065,0
2019/5/15,sh.600000,10.375062,10.5038305,10.32907325,10.411853,10.31067775,34404465,389533437,2,0.122419,1,0.981264,5.722008,0.724398,1.823681,-13.138738,0
2019/5/16,sh.600000,10.375062,10.448644,10.3198755,10.3934575,10.411853,34141755,385015233,2,0.121485,1,-0.176674,5.711898,0.723118,1.820459,-13.115525,0
2019/5/17,sh.600000,10.411853,10.43944625,10.30148,10.338271,10.3934575,38399831,433108021,2,0.136636,1,-0.530977,5.68157,0.719279,1.810793,-13.045885,0
2019/5/20,sh.600000,10.375062,10.522226,10.34746875,10.4302485,10.338271,34904438,396448397,2,0.124198,1,0.889683,5.732117,0.725678,1.826903,-13.161952,0
